model_name,trasnformer_name,RMSE

model_baseline_with_tuning_07062023220855,transformer_baseline_with_tuning_07062023220855,0.11181464299330265
model_baseline_with_tuning_07062023233000,transformer_baseline_with_tuning_07062023233000,0.10776785951183186
model_full_pipeline_12062023001502,transformer_full_pipeline_12062023001502,0.11237172898838456
model_full_pipeline_12062023003124,transformer_full_pipeline_12062023003124,0.11237173013672444
model_full_pipeline_12062023003358,transformer_full_pipeline_12062023003358,0.11237172965861938
model_full_pipeline_12062023003556,transformer_full_pipeline_12062023003556,0.1123717272777529
model_full_pipeline_12062023005010,transformer_full_pipeline_12062023005010,0.11237173337660164
model_full_pipeline_12062023011055,transformer_full_pipeline_12062023011055,0.11181464468529677

model_full_pipeline_fixed_test_12062023224745,transformer_full_pipeline_fixed_test_12062023224745,0.10511364100715735
model_full_pipeline_fixed_test_28062023222514,transformer_full_pipeline_fixed_test_28062023222514,0.10437313115940978
